name,desc,rating
 Dela E ," I was so thrilled to find local brand's sunscreen powder, especially in a brush form like this. It is way cheaper compared to western brand, but it has the quality of its cost. I can't control the flow or amount of product I can use in one go. The brush is rather stiff to be used as setting powder on top of complexion (which can risk shifting or scraped complexion). The big minus of the product is indeed the number of SPF is only 30 which is too low for something that will be used in a country constantly bathed in sunlight. Sunscreen powder cannot be used as thick as the cream ones (unless we're going for that dry cake look) and therefore need to have a higher SPF for sunscreen re-apply. There are still some plus to the product: they are the first local I've seen to release this to-go type of product (I hope they're still improving), the powder seem to have a light/pale shade but it blurs into my rather deep skintone just fine, the particles are so fine it feels so light as a dusting powder on top of my wet sunscreen. ",3.8
 Mazwa Kholisah , Aku baru cobaaaa!! Karna baru sampe tadi yang aku rasain first impressions dia kaya bedak biasa yaaa teksturnya enak aku beli ini karna keracunan banyak yg review dan ada sunscreennya jggg!! ,5.0
 fanie lissa ," sunscreen powder pertama kali yang aku punya nih, warnanya bagus banget natural dan meratakan makeup aku. hasilnya juga matte banget waktu habis di pake. dengan kandungan SPF 30 PA+++ sangat membantu aku menjaga kulit wajah aku dari paparan sinar matahari. ",5.0
 mia fitriani ," Sesuka ituu sih sama cica beat powdernyaa, cocok banget sama aku yg kulit wajahnya berminyak, mudah dibawa kemana2 juga ga ribet sukaaa banget pokonyaa ❤️❤️ ",5.0
 Regina BZS , pas apply bagus sih.. ngikat minyak berlebih plus hasil matte yang buat look jadi lebih flawless.. pokoknya worth it to buy npure cica beat the sun powder ini.. ,5.0
 Cholilatul Zuhriya ," Sunscreen powder pertama yang super keren dengan kemasan super super keren, mewah dan simple. lengkap dengan brush. jadi pakainya gampang banget tinggal tap, apply dan ready. Bahannya aman banget, Halal, dan Bpom dengan SPF 30. paket lengkap sekali. Hasil akhirnya matte dan nyaman banget dipakai saat keluar rumah. Thank you N'Pure.  ",5.0
 Dian a , pingin banget suka sama ini produk tapi hasilnya nggak sesuai harapan. packagingnya rentan pecah. jatoh sekali dan pecah. sebelum jatoh juga udah retak  pas buka tutupnya. harganya murah. isinya dikit dan susah untuk keluarin produknya. mending pindahin ke tempat lain isinya. hasil akhirnya ini nggak matte dan warnya ashy banget diwajah.  ,2.0
 okkyrastyani chaerunisa ," Aku baru baru ini aja mulai rajin pakai sunscreen, dan ini pertama kalinya juga cobain sun powder. ini praktis banget sih tinggal oles oles kuas di wajah langsung cling. ",4.0
 tyara bd ," Yaampun girang bgt aku pas tau klo N’pure punya produk baru yaitu sunscreen tapi bentuknya powder !! Ini mempermudah kerjaan bgt sii wkwk karna klo udh makeup dan butuh touchup sunscreen gak perlu pusing lg pake sunscreen cair, ini jg berguna bgt sebagai touch up makeup karna bentuknya yg powder. Sumpah cinta bgtt sama sunscreen powder ini !!😍❤️ ",5.0
 Neisya Isni ," sebenernya konsepnya bagus yaa, dan produknya jg bikin muka halus karna powdernya halus jg. tp entah saya yg salah cara pakai atau gimana, agak susah buat ngeluarin produknya kalo lg dipake. karna kalo pas muka lg berminyak dan dikasih powder kan keliatan mate, tp ini ngga begitu, jd bingung wkwkwk ",4.0
